little pictures,to be called,Richard Feynman,2
Feynman,admits at,outset,3
Richard Feynman,would mock,fuzzy,3
Feynman,to work to,atom bomb,1
Feynman,fought,specializationof,bureaucratic intransigence,2
Joan Feynman,shuts,first grade eyes,2
Feynman,started to question,value of science,4
Joan Feynman,pulling out,vacuum cleaner,3
Professor Feynman,is a member of,American Physical Society,1
Feynman,was trying to turn,son predicament,4
son,wanted to,fatherofperson,Feynman,1
Joan Feynman,was to,agentbelongstoorganization,switches on command,2
Richard Feynman,explains to,non scientist,4
Joan Feynman,was too,scientist,2
Richard Feynman,did nt actually write,human,3
Feynman,are used across,world,3
Drop,said,subpartof,Joan Feynman,1
Feynman,are used,agentcompeteswithagent,Today,1
Feynman Lectures on Physics,took,proxyfor,Feynman,1
Richard P. Feynman,is,proxyfor,Gweneth Howarth,2
Richard Feynman,was driving,C. N. Yang,2
Feynman,joined,hasspouse,commission set,2
equations,reminded,Feynman,1
Joan Feynman,cleaned For,three years,3
Feynman,discovered In,late Seventies,3
Richard Feynman,had,personborninlocation,vital gift,2
Feynman,taught at,persongraduatedfromuniversity,California Institute of Technology,1
Richard Feynman,would pretend not to understand,Murray Gell Mann,3
Feynman,suggests,Arab,1
Feynman,remembers walking with,Feynman,3
Feynman,observed,plate,1
Feynman,was,synonymfor,self taught,1
Feynman,was part of,infamous Manhattan Project,2
Feynman,went to,medical library,1
severe depression,had haunted,Joan Feynman,3
Feynman,was,personhasjobposition,great story teller,2
11 old brother,would run,Joan Feynman,2
Richard P. Feynman,died on,February 15,1
Joan Feynman,introduced to,agentcontrols,physics,1
Feynman,developing,theories of Quantum Electrodynamics,2
Feynman,remembers walking around,time,3
Feynman,fought to,uncover,4
Feynman,was,personchargedwithcrime,Wow,2
Richard Feynman,said,agentcollaborateswithagent,Feynman,1
Feynman,changed,synonymfor,face of quantum,2
Feynman,deciphered,Mayan,3
Feynman,invented,deep insight,1
Feynman,could break down into,pieces,3
Richard Feynman,picked,mutualproxyfor,locks,1
Feynman,says,hasspouse,fun,1
Feynman,was trying to turn into,something,4
heavy,to swing,Feynman,1
Feynman,speak,persongraduatedfromuniversity,language,2
Joan Feynman,stuffing into,refrigerator,3
Feynman,s out,depth,3
Feynman,finds in,sciences,3
book,to show,Feynman,2
inquiry,had left,Feynman,1
Feynman,strutting around,department,3
Feynman,applied,experimental approach,2
Richard Feynman,was essentially,loner,3
SCIENCE,HOBBYIST,Feynman Webring,3
Joan Feynman,did not take,advice,3
Joan Feynman,coming,mutualproxyfor,night,1
Physics,had slipped down,Feynman,3
famous Feynman,comes across very well in,pages,3
Joan Feynman,s been,JPL,4
Feynman,discovered in,Feynman,1
Feynman,really liked to work in,context of things,4
